	strings	type
137	business goal progress scores	query
138	business value analysis	query
139	by radio city	query
140	calculations	query
141	calendar	query
142	calendar application	query
143	calendar google com	query
144	calendly	query
145	calibri	query
146	call interface	query
147	call interface with controls for microphone  camera  and settings	query
148	call interface with controls for microphone  camera  captions  and more	query
149	call interface with controls for microphone  camera  captions  and more options	query
150	call interface with controls for microphone  camera  captions  and more options  and hang up	query
151	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible	query
152	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta	query
153	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta  read ai meeting notes	query
154	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta  read ai meeting notes  read ai meeting notes	query
155	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta  read ai meeting notes  read ai meeting notes  shared screen	query
156	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta  read ai meeting notes  read ai meeting notes  shared screen  video call layout	query
157	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta  read ai meeting notes  read ai meeting notes  shared screen  video call layout  two participants visible	query
158	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta  read ai meeting notes  read ai meeting notes  shared screen  video call layout  two participants visible  isabelle adviento  dragos nuta	query
159	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta  read ai meeting notes  read ai meeting notes  shared screen  video call layout  two participants visible  isabelle adviento  dragos nuta  alpapt  logrocket  moo business cards  rory james	query
160	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta  read ai meeting notes  read ai meeting notes  shared screen  video call layout  two participants visible  isabelle adviento  dragos nuta  alpapt  logrocket  moo business cards  rory james  visible in the video call interface	query
161	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta  read ai meeting notes  read ai meeting notes  shared screen  video call layout  two participants visible  isabelle adviento  dragos nuta  alpapt  logrocket  moo business cards  rory james  visible in the video call interface  engaged in	query
162	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta  read ai meeting notes  read ai meeting notes  shared screen  video call layout  two participants visible  isabelle adviento  dragos nuta  alpapt  logrocket  moo business cards  rory james  visible in the video call interface  engaged in  jira project management board titled alpapt on atlassian	query
163	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta  read ai meeting notes  read ai meeting notes  shared screen  video call layout  two participants visible  isabelle adviento  dragos nuta  alpapt  logrocket  moo business cards  rory james  visible in the video call interface  engaged in  jira project management board titled alpapt on atlassian  various tasks and issues  including gt school   logrocket  credit card payment for yearly subscription to wix com  moo business cards for cro   rory james	query
164	call interface with controls for microphone  camera  captions  and more options  and hang up  participants list and chat sidebar visible  isabelle adviento  dragos nuta  read ai meeting notes  read ai meeting notes  shared screen  video call layout  two participants visible  isabelle adviento  dragos nuta  alpapt  logrocket  moo business cards  rory james  visible in the video call interface  engaged in  jira project management board titled alpapt on atlassian  various tasks and issues  including gt school   logrocket  credit card payment for yearly subscription to wix com  moo business cards for cro   rory james  still in the google meet call with isabelle adviento and dragos nuta	query
165	call interface with controls for microphone  camera  captions  present now  more options  and hang up	query
166	camera	query
167	camera controls	query
168	camera toggle	query
169	candidateid  20104	query
170	captions	query
171	captured timeframe	query
172	castle	query
173	categories such as cohorts  read  stuff  assembly lines  guides  info  li  xo process  xo wspro  google jobs  open tabs july 2022  new folder  seo  org  ai coach  sourcing 2024  and platforms	query
174	ccf	query
175	central compute	query
176	central db	query
177	central pms team	query
178	central product   q2 24 budget plan	query
179	central tpm operations meeting	query
180	chandigarh	query
181	chat	query
182	chat conversation	query
183	chat in tpm reboot	query
184	chat options	query
185	chat panel with dragos nuta and ben new	query
186	chat session	query
187	chat sidebar	query
188	chat sidebar showing discussions about customer usage and feedback on the jive ai copilot	query
189	chat sidebar showing ongoing discussions with team members	query
190	chat window for team collaboration	query
191	chatting	query
192	chatting with team	query
193	chennai	query
194	chennai metropolitan	query
195	chris hornby	query
196	chrome	query
197	chunk 2024 06 04t06 20 00z json	query
198	close button	query
199	cloud	query
200	cloud getliteral ai	query
201	cloudsense	query
202	cnu	query
203	cnu 1 week project	query
204	cnu ai assist   extract doc	query
205	cnu q business productm	query
206	cnu q business productmind	query
207	cnu q business productmind chat	query
208	coastline	query
209	code with ai   chat	query
210	collaboration	query
211	commit goals	query
212	communication	query
213	communication tool	query
214	completing phone call attempts to customers	query
215	conclusions	query
216	contact persons	query
217	content of the document	query
218	continuous engagement	query
219	contract	query
220	contract started april 26	query
221	controls	query
222	conversation about approach and customers	query
223	conversation about channels used	query
224	conversation about concise information	query
225	corry kapner	query
226	cory kapner	query
227	cory s sybill notetaker	query
228	cost analysis	query
229	cost per slot	query
230	cost reduction	query
231	countifs	query
232	crossover	query
233	crossover    appcast	query
234	crossover   joeveo discussion	query
235	crossover   upwork sourc	query
236	crossover   upwork source	query
237	crossover   upwork sourcing	query
238	crossover com	query
239	crossover hire	query
240	crossover hire   backlog   google chrome	query
241	crossover hire project tasks in jira	query
242	crossover markets dmcc	query
243	crossover sprints	query
244	crossover sprints   backlog   worksmart lambda	query
245	customer	query
246	customer adoption funnels	query
247	customer adoption rates	query
248	customer contacts from bus	query
249	customer conversion	query
250	customer decline reasons	query
251	customer details	query
252	customer engagement	query
253	customer engagement and rollout strategies for jive ai copilot	query
254	customer engagement data	query
255	customer expectations alignment	query
256	customer interest	query
257	customer interviews	query
258	customer names	query
259	customer needs analysis	query
260	customer outreach	query
261	customer problems	query
262	customer problems resolution	query
263	customer response rates	query
264	customer responses	query
265	customer satisfaction	query
266	customer satisfaction analysis	query
267	customer satisfaction verification	query
268	customer stability	query
269	customer support platform	query
270	customer upgrade challenges	query
271	customer upgrade plans	query
272	customer upgrades	query
273	customer value realization	query
274	czapovics	query
275	dashboard tool	query
276	data ingestion and ml models	query
277	david belton	query
278	david harpur	query
279	david schwartz	query
280	default spaces	query
281	defense projects	query
282	delhi	query
283	delivery progress	query
284	delivery progress  influitive   add ai to discourse communities	query
285	delivery progress details	query
286	delivery progress document	query
287	delivery scorecard	query
288	demo day	query
289	denys yefimenko	query
290	description in lock screen	query
291	desktop	query
292	detail  switching cost	query
293	detailed breakdowns	query
294	detailed financial data	query
295	detailed financial projections	query
296	detailed information about customer engagement and rollout strategies for the jive ai copilot	query
297	detailed information about various project goals	query
298	detailed metrics and kpis	query
299	detailed weekly view	query
300	development tool	query
301	devfactory	query
302	devfactory   calendar	query
303	devfactory   calendar   week of june 10  2024   google chrome	query
304	devfactory mail	query
305	devfactory tpm ai	query
306	devfest	query
307	devgraph alp atlassian net	query
308	different renewal plans	query
309	direct and indirect costs	query
310	direct message conversation	query
311	direct message conversation on google chat	query
312	direct messages	query
313	discourse 2 3	query
314	discourse 3 0	query
315	discourse communities	query
316	discussing ai related tasks and updates	query
317	discussing metrics	query
318	discussing performance of ai assist tool	query
319	discussion	query
320	discussion based on these deliverables	query
321	displayed on desktop	query
322	dmitrii shutenkov	query
323	docs google com	query
324	document editing	query
325	document editing tool	query
326	document in google docs	query
327	document viewer	query
328	document viewer editor	query
329	document viewer or editor	query
330	document viewing	query
331	dra nutu	query
332	drag nuta	query
333	drago nuta	query
334	drago nutu	query
335	dragos  23 00  jungle park and dragos nuta	query
336	dragos nta	query
337	dragos nu	query
338	dragos nut	query
339	dragos nuta	query
340	dragos nuta trilogy com	query
341	dragos nutu	query
342	dragos nutu0103	query
343	dragosnta	query
344	driving adoption from the remaining unengaged customers	query
345	driving early adoption of projects	query
346	dynamodb	query
347	early adopter leads	query
348	early adoption pool	query
349	early customer adoption	query
350	early customer adoption details	query
351	early involvement	query
352	edgar h mulongo	query
353	edge	query
354	edu	query
355	edu project	query
356	eeoc	query
357	effort and risk associated with switching to a primary competitor	query
358	elevate	query
359	email	query
360	email address	query
361	email client	query
362	email communication	query
363	email domains	query
364	email platform	query
365	email service	query
366	email thread	query
367	email title	query
368	email tool	query
369	emails	query
370	emails from ethan mollick	query
371	emails from magic	query
372	emails from samy aboel nil	query
373	emails related to project updates	query
374	eng	query
375	engaged in	query
376	engaged in chat on google chat	query
377	engaged in chat on google chrome	query
378	engaged in chat with noumaan shah	query
379	engaged in daily syncs	query
380	engineering jobs	query
381	english	query
382	ensuring quality and thoroughness	query
383	eric	query
384	eric vaughan	query
385	erick irigoyen	query
386	es file explorer	query
387	escalated license issues	query
388	esw	query
389	esw   amazon bedrock   cloudera data platform	query
390	esw aiml and genai office hours	query
391	esw conference	query
392	ethan mollick	query
393	events	query
394	events with times  descriptions  and color codes	query
395	examples	query
396	explorer	query
397	expressing dissatisfaction	query
398	extension icons	query
399	facebook	query
400	facebook cc payments	query
401	facilitating discussion	query
402	factory status may 2024	query
403	factory status may 2024  tpm eng	query
404	facts	query
405	false	query
406	feature line automations	query
407	feedback on communication strategy	query
408	feedback on examples of feedback	query
409	feedback on story structure	query
410	feedback on updates	query
411	feedback on voice	query
412	file explorer	query
413	file explorer application	query
414	file management application	query
415	finance manager	query
416	financial data	query
417	firat gomi	query
418	firat s ai notetaker	query
419	foray into new media	query
420	framework for success	query
421	fw  7 golden rules for generative ai apps	query
422	fwd  introducing	query
423	generative ai	query
424	georg dita	query
425	george	query
426	george dita	query
427	gfi appmanager	query
428	gfi bu ce tpm managem	query
429	gfi bu ce tpm managemen	query
430	gfi bu ec tpm managem	query
431	gmail	query
432	gmail   chris hornby devfactory com   google chrome	query
433	gmail   inbox	query
434	gmail   xo team chat	query
435	gmail chat	query
436	goal status	query
437	google	query
438	google account	query
439	google calendar	query
440	google calendar in  week  view mode	query
441	google chat	query
442	google chrome	query
443	google chrome   private	query
444	google chrome private	query
445	google com	query
446	google docs	query
447	google docs document	query
448	google docs document titled  factory status may 2024  tpm eng	query
449	google drive	query
450	google form	query
451	google maps	query
452	google meet	query
453	google meet   video conference	query
454	google meet link	query
455	google meet session	query
456	google meet video call	query
457	google meet video conference	query
458	google sheets	query
459	google sheets document	query
460	google sheets document titled  linkedin renewal 2024	query
461	google spreadsheet	query
462	grand total  402 297	query
463	group chat	query
464	guidde	query
465	guide com	query
466	gurgaon	query
467	hang up	query
468	highlightedelement  picture of a male	query
469	highlightedelement  tab title  google chrome private	query
470	hindi	query
471	https   docs google com document d 1	query
472	https   meet google com aqm tpng aqq	query
473	hubspot	query
474	hyderabad	query
475	icav	query
476	icons for google chrome	query
477	icons for google docs	query
478	icons for google docs  file explorer  microsoft edge	query
479	icons for google drive	query
480	icons for microsoft outlook	query
481	icons for microsoft teams	query
482	icons in taskbar	query
483	identity provider	query
484	idle	query
485	ifc	query
486	ignitetech	query
487	ignitetech cp   central esw   central pm meeting	query
488	impact on hires	query
489	import stratifyd	query
490	improvements done in the products	query
491	improving outreach	query
492	in the given passage	query
493	inbox	query
494	inbox   dragos nuta trilogy com   devfactory mail	query
495	inbox  14   7 639    dragos nuta aurea com   devfactory mail	query
496	indeed	query
497	india	query
498	infliutive cpm	query
499	influitive	query
500	influtin	query
501	input device	query
502	insights from customers	query
503	installation and use case instructions	query
504	internal chat tool	query
505	internet explorer	query
506	invitation	query
507	invitation to webinar event  the future of ai in business	query
508	involved in facebook cc payments	query
509	isaac	query
510	isaac squires	query
511	isabelle	query
512	isabelle adviento	query
513	issues encountered	query
514	jamie s assistant	query
515	jamie sidey	query
516	jan 17	query
517	jan 19	query
518	jason messinger	query
519	java 11	query
520	java 17	query
521	jhansi	query
522	jigs	query
523	jigsaw	query
524	jigsaw   george   dragos  19 30	query
525	jigsaw slot update prep	query
526	jigsaw stratifyd	query
527	jira	query
528	jive	query
529	jive cloud	query
530	jive cloud copilot	query
531	jive cloud copilot information	query
532	jive copilot	query
533	jive copilot   mass email	query
534	jive hop	query
535	jive security	query
536	jive upgrade	query
537	jive upgrade   google docs	query
538	job boards	query
539	job role performance metrics	query
540	job search platform	query
541	jodhpur	query
542	joe	query
543	joe conley	query
544	john czapovicz	query
545	joveo	query
546	joveo notetaker	query
547	jozef czapovics	query
548	jozse czapovics	query
549	jozsef	query
550	jozsef capovics	query
551	jozsef czapovics	query
552	jozsef czapovics   chat   google chrome	query
553	june 2024	query
554	june 3  2024	query
555	june 4	query
556	jungsoo park	query
557	kanban slots	query
558	kathe rose	query
559	katherine rose	query
560	kathy	query
561	kathy slowinski	query
562	kathy slowirski	query
563	keyboard	query
564	keyboard  0  mouse  0  date  2024 06 04t08 08 09z  window title  meet   zfj rojw kzq   google chrome  process name  meet google com  visiting url  meet google com zfj rojw kzq authuser 0  keylog    cpu usage  0  mem usage  0  mobile  false  idle  true	query
565	keyboard  126  mouse  5  date  2024 06 04t08 04 09z  window title  ai assist   first release   dragos nuta trilogy com   devfactory mail   google chrome  process name  mail google com  visiting url  mail google com mail u 0  search ai assist ben qgrcjhrtstrzqjfbbdbxxfnjwccmzxhhtqb  keylog    cpu usage  0  mem usage  0  mobile  false  idle  false	query
566	keyboard  156  mouse  10  date  2024 06 04t08 01 09z  window title  ai assist   first release   dragos nuta trilogy com   devfactory mail   google chrome  process name  mail google com  visiting url  mail google com mail u 0  search ai assist ben qgrcjhrtstrzqjfbbdbxxfnjwccmzxhhtqb  keylog    cpu usage  0  mem usage  0  mobile  false  idle  false	query
567	keyboard  2  mouse  0  date  2024 06 04t08 09 09z  window title  ai assist   first release   dragos nuta trilogy com   devfactory mail   google chrome  process name  mail google com  visiting url  mail google com mail u 0  search ai assist ben qgrcjhrtstrzqjfbbdbxxfnjwccmzxhhtqb  keylog    cpu usage  0  mem usage  0  mobile  false  idle  false	query
568	keyboard  217  mouse  3  date  2024 06 04t08 02 09z  window title  ai assist   first release   dragos nuta trilogy com   devfactory mail   google chrome  process name  mail google com  visiting url  mail google com mail u 0  search ai assist ben qgrcjhrtstrzqjfbbdbxxfnjwccmzxhhtqb  keylog    cpu usage  0  mem usage  0  mobile  false  idle  false	query
569	keyboard  217  mouse  6  date  2024 06 04t08 00 09z  window title  ai assist   first release   dragos nuta trilogy com   devfactory mail   google chrome  process name  mail google com  visiting url  mail google com mail u 0  search ai assist ben qgrcjhrtstrzqjfbbdbxxfnjwccmzxhhtqb  keylog    cpu usage  0  mem usage  0  mobile  false  idle  false	query
570	keyboard  221  mouse  0  date  2024 06 04t08 03 09z  window title  ai assist   first release   dragos nuta trilogy com   devfactory mail   google chrome  process name  mail google com  visiting url  mail google com mail u 0  search ai assist ben qgrcjhrtstrzqjfbbdbxxfnjwccmzxhhtqb  keylog    cpu usage  0  mem usage  0  mobile  false  idle  false	query
571	keyboard  49  mouse  0  date  2024 06 04t08 06 09z  window title  meet   zfj rojw kzq   google chrome  process name  meet google com  visiting url  meet google com zfj rojw kzq authuser 0  keylog    cpu usage  0  mem usage  0  mobile  false  idle  false	query
572	keyboard  51  mouse  10  date  2024 06 04t08 07 09z  window title  meet   zfj rojw kzq   google chrome  process name  meet google com  visiting url  meet google com zfj rojw kzq authuser 0  keylog    cpu usage  0  mem usage  0  mobile  false  idle  false	query
573	keyboard  92  mouse  0  date  2024 06 04t08 05 09z  window title  meet   zfj rojw kzq   google chrome  process name  meet google com  visiting url  meet google com zfj rojw kzq authuser 0  keylog    cpu usage  0  mem usage  0  mobile  false  idle  false	query
574	kolkata	query
575	kt sessions	query
576	lack of access credentials to advotechhub facebook page	query
577	laura	query
578	leonhard holz	query
579	libreoffice	query
580	libro	query
581	linkedin	query
582	linkedin renewal 2024	query
583	linkedin renewal 2024   google sheets	query
584	literal ai	query
585	literal ai platform	query
586	literal ai tool	query
587	llm	query
588	lock screen	query
589	lockapp	query
590	locked	query
591	looking down	query
592	ludel mier	query
593	lufthansa	query
594	maharashtra	query
595	mail	query
596	mail folder	query
597	mail google com	query
598	maintenance delivery scorecard	query
599	maintenance delivery scorecards	query
600	maintenance details	query
601	maintenance updates	query
602	managing ai threads	query
603	managing emails	query
604	map viewing	query
605	marc breslow	query
606	marcelo skaba	query
607	matheus vinicius	query
608	matheus vinicius de	query
609	matter	query
610	maximize button	query
611	may 2008	query
612	may reg xo check in	query
613	meerut	query
614	meet	query
615	meet   aqm tpng aqq	query
616	meet   djt sgrk svq	query
617	meet   keh vdmq vie	query
618	meet   keh vdmq vie   google chrome	query
619	meet   khm qevt udu	query
620	meet   khm qevt udu   google chrome	query
621	meet   pvi xucn nkp   google chrome	query
622	meet   qrz rpvr qjr	query
623	meet   qtv ugaf ywq	query
624	meet   zfj rojw kzq   google chrome	query
625	meet google com	query
626	meet google com pvi xucn nkp	query
627	meeting	query
628	meeting application	query
629	meeting notes	query
630	meeting platform	query
631	meeting time	query
632	meeting tool	query
633	messages	query
634	messenger	query
635	messenger java 17	query
636	metrics and kpis	query
637	mic	query
638	michael	query
639	michael madume	query
640	microphone	query
641	microphone toggle	query
642	microsoft edge	query
643	microsoft romania	query
644	microsoft store	query
645	microsoft teams	query
646	microsoft teams meeting	query
647	middle right	query
648	minimize button	query
649	ml models	query
650	monitoring softwareag s setup of the webmethods environment	query
651	more actions	query
652	more options	query
653	mountain	query
654	mouse	query
655	mqls	query
656	mumbai	query
657	music portal	query
658	music related news	query
659	mute controls	query
660	my gpt40	query
661	n a	query
662	name changes	query
663	navigating through dashboard	query
664	navigation buttons	query
665	nda	query
666	necessary licenses and information	query
667	neeraj gupta	query
668	netsuite	query
669	network status	query
670	new	query
671	new goals	query
672	new media	query
673	new zealand time	query
674	new zealand time 02 30	query
675	newer java	query
676	nigerian pidgin english language	query
677	note	query
678	notepad	query
679	notifications	query
680	notion	query
681	noumaan	query
682	noumaan shah	query
683	nouman	query
684	observing ai runs and generations	query
685	omar	query
686	openai	query
687	otter ai	query
688	outreach details	query
689	outreach statuses	query
690	p l   budget view	query
691	p25	query
692	paddy	query
693	participant in meet	query
694	participant list	query
695	participant videos	query
696	participants	query
697	participants list	query
698	participating in a session	query
699	participating in meetings	query
700	partnership opportunity	query
701	passwords devfactory com	query
702	patrick york	query
703	pci audit due to security issues with monitor	query
704	people	query
705	performance and joe charts	query
706	phil	query
707	phil hewinson	query
708	photos	query
709	pinecone	query
710	pivot table 2	query
711	planetradiocity com	query
712	plans for early and late renewals	query
713	platform openai com	query
714	platform openai com tool	query
715	platform performance metrics	query
716	playbooks product	query
717	pm playbook draft	query
718	popup window	query
719	postbeyond	query
720	pre acquisition ideas	query
721	present now	query
722	presentation sharing	query
723	presenting data	query
724	privacy settings	query
725	private fm radio station	query
726	processname	query
727	prod2 import spec	query
728	product daily check	query
729	product daily check in	query
730	product issues	query
731	product issues dd rca	query
732	product usability	query
733	productivity enhancements	query
734	professional networking platform	query
735	profile icon	query
736	profile picture of a male	query
737	programmatic recruitment software	query
738	programming language	query
739	progress report	query
740	progress updates  metrics  and kpis	query
741	project	query
742	project management tool	query
743	project status	query
744	project updates	query
745	prompts	query
746	prompts shared with companies	query
747	providing feedback	query
748	providing helpful responses based on chat history	query
749	providing insights	query
750	providing specific comments	query
751	providing updates during renewal	query
752	proximus	query
753	pune	query
754	python	query
755	q sessions	query
756	q2 objective	query
757	queries	query
758	quick notes	query
759	radio city	query
760	rafal hrynio	query
761	rafal hryniow	query
762	rag qa scan tool	query
763	raghuil suthagar	query
764	raise hand	query
765	rakshit bha	query
766	rc	query
767	re  updated invitation  jigsaw kanban status   demo	query
768	reactions	query
769	read ai	query
770	read ai meeting notes	query
771	reading and editing documents	query
772	reading emails	query
773	recruitment marketing tech solutions	query
774	recruitment strategies	query
775	red	query
776	reduction scenarios	query
777	refine copilot project	query
778	refinitiv	query
779	related to alp jira	query
780	related to crossover markets dmcc	query
781	related to infliutive cpm	query
782	related to influitive	query
783	related to music portal	query
784	related to stratifyd daily standup	query
785	renewal plans data	query
786	renewals	query
787	responsetek product	query
788	review prompting badge	query
789	reviewing detailed performance metrics	query
790	rishap ahuja	query
791	rollout plans	query
792	saas   cf monthly report   may 2024	query
793	saket chourasiya	query
794	saket ghourasiya	query
795	samy	query
796	samy aboel nil	query
797	samy s vps gen ai adoption   chat	query
798	savings by finder	query
799	scenic background	query
800	scenic background image	query
801	schedule for june 4	query
802	scheduling	query
803	scott saunders	query
804	search	query
805	searchhost	query
806	seeking clarification	query
807	selecting early adopters	query
808	senior ai innovation specialist	query
809	serba petrescu	query
810	serban petrescu	query
811	settings	query
812	settings controls	query
813	share	query
814	shared screen	query
815	sharing screen	query
816	sharing settings	query
817	sheet4	query
818	shortwave	query
819	simple calculation related to media spend	query
820	sl product	query
821	slack	query
822	slot delivery	query
823	slot delivery details	query
824	social media platform	query
825	sococo product	query
826	software development	query
827	softwareag	query
828	songs	query
829	sound volume	query
830	sourcing performance metrics	query
831	space request notifications	query
832	spaces	query
833	speaking	query
834	spec request notifications	query
835	specific details	query
836	spreadsheet application	query
837	spreadsheet tools	query
838	sql	query
839	ssv vhkw gzq meeting	query
840	stack ai com	query
841	starred messages	query
842	start menu	query
843	status	query
844	step	query
845	stephanie	query
846	storing user profile data	query
847	stratifi	query
848	stratifyd	query
849	stratifyd daily start	query
850	stratifyed	query
851	streetsmart product	query
852	stretch goals	query
853	structured and methodical approaches to engage stakeholders	query
854	successful configuration	query
855	summaries	query
856	summary	query
857	support for lufthansa	query
858	support for softwareag	query
859	support new goals	query
860	supporting lufthansa for upgrade success	query
861	synchronization tasks	query
862	system tray	query
863	system tray icons	query
864	tab title  google chrome private	query
865	table editor	query
866	tabs	query
867	tabs for google docs and sheets	query
868	take product	query
869	tamil nadu	query
870	task switching	query
871	task view	query
872	taskbar	query
873	team communication	query
874	team coordination	query
875	team member	query
876	team members	query
877	term	query
878	text and tables related to customer engagement and rollout strategies for the jive ai copilot	query
879	text content	query
880	text editor	query
881	the castle is brooding	query
882	the mountain ridge is magnificent	query
883	the user continues to work on the email in gmail  making edits and adjustments to the content  the email remains focused on ai assist  its new home  and its potential use cases  the user is seen interacting with the email interface  which includes options for composing  formatting  and sending the email  the email draft is saved  indicating ongoing work and revisions	query
884	the user is actively engaged in email communication using gmail  they are composing an email to multiple recipients  including bogdan tenea  dmitrii shutkenov  isaac squires  serban petrescu  david schwartz  and noumaan shah  the email discusses the new home for ai assist and its improvements  encouraging recipients to try it and share feedback  the email also outlines scenarios where ai assist can be helpful  such as pulling content from documents emails and finding information from past work	query
885	the user is participating in a google meet video call  the meeting includes participants dragos nuta  phil hewinson  and a bot named  read ai meeting notes   the discussion appears to be focused on ai assist  as indicated by the visible text  phil   dragos   what can ai assist help you    the user is the meeting host  and all invited participants have joined the call  the meeting interface shows standard google meet controls and participant management options	query
886	thibaul bridel bertomeu	query
887	thibault bridel bertomeu	query
888	think with me	query
889	thomas kinnie	query
890	tier 1   enterprise  20k month	query
891	time	query
892	time 5 30 pm 6 4 2024	query
893	timestamp	query
894	tivian	query
895	tivian    performance plan	query
896	tivian   pricing insights	query
897	tivian   pricing insights  stickiness	query
898	tivian cloudfix savings	query
899	tolgoj   ccab	query
900	top right	query
901	topic in chat	query
902	tpm	query
903	tpm eng	query
904	tpm reboot	query
905	tpm slot   early adoption service	query
906	tracking progress	query
907	trilogy	query
908	trilogyvdr com	query
909	trivian   pricing insights	query
910	trivian cloudfix savings document	query
911	true	query
912	two participants visible	query
913	typescript	query
914	typical browser controls	query
915	unidentified application	query
916	unidentified applications	query
917	upcoming meetings	query
918	upgraded version in 2022	query
919	upgrading its white label product	query
920	used for accessing guidde and chat	query
921	used for alp jira	query
922	used for engaging in chat	query
923	used for facebook cc payments	query
924	used for managing schedule	query
925	user	query
926	user feedback	query
927	user profile picture	query
928	vanishig singh	query
929	various job boards	query
930	various project statuses	query
931	vendor bill processing automation	query
932	vendor enrollment	query
933	vendor queries	query
934	version 1 2 0	query
935	version 1 2 3	query
936	version 10 15  java 11	query
937	version 12 0	query
938	version 12 0 3	query
939	version compatibility	query
940	victor sant ana	query
941	video call	query
942	video call with scott saunders	query
943	video call with thomas kinnie	query
944	video conference	query
945	video conference call	query
946	video conference controls	query
947	video conference controls including microphone  camera  and presentation options	query
948	video conference participants	query
949	video conference platform	query
950	video conference tool	query
951	video conferencing	query
952	video conferencing tool	query
953	video feed	query
954	video project	query
955	videos	query
956	viewing and updating  weekly delivery tracker  document	query
957	viewing and updating project documentation	query
958	viewing documents	query
959	viewing factory status document	query
